chord -> bevel/belve, qajaq, kuzus, gynny, immix, pfftt
cluck -> swans/snaws, gobbo, jeeze, myrrh/rhymy, vivid, pfftt
pinky -> addax, cwtch, jeeze, fuffs, grrrl, bombo
chess -> minny, qajaq, kudzu, grrrl, oxbow, pfftt
grown/wrong -> cheek/check/keech, sudds, qajaq, xylyl, zimbi, pfftt
whisk -> bevel/belve, qajaq, cocco, gynny, durum, pfftt
wrung -> shack/hacks, xylyl, jeeze, vivid, bombo, pfftt
belch -> sudds, qajaq, morro/mormo/moror, gynny, xviii, pfftt
unwed -> qajaq, civic, grrrl, skyfs, bombo, phpht
shank -> buzzy, cocco, exeem/exeme, grrrl, vivid, pfftt
weave -> kudzu, syncs, grrrl, immix, boffo, phpht
drunk -> slobs/bolos/bools/lobos/obols/blobs/bolls, femme, qajaq, cwtch, gyppy, xviii
tenet -> compo, qajaq, grrrl, skyfs, vivid, zhuzh
macaw -> stots/sotto/soots/toots/stoss/stott/ottos, dukun, hyphy, jeeze, grrrl, xviii
spiny -> qajaq, kudzu, cwtch, exeem/exeme, grrrl, boffo
swoon -> cheek/check/keech, buzzy, qajaq, grrrl, immix, pfftt
tweed -> infix, qajaq, omovs, hyphy, grrrl, bucku
vivid -> wrong/grown, cheek/check/keech, qajaq, bubus/bussu, xylyl, pfftt
bloom -> pudus/spuds, qajaq, cwtch, keeve, gynny, frizz
chill/chili -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, kuzus, gynny, bombo, pfftt
theme -> qajaq, kudzu, civic, grrrl, boffo, wynns
hussy -> nebek, qajaq, modoc, grrrl, xviii, pfftt
downy -> cheek/check/keech, qajaq, bubus/bussu, grrrl, immix, pfftt
dense -> yuppy/puppy, qajaq, cwtch, grrrl, immix, boffo
drill -> cheek/check/keech, qajaq, gynny, bombo, susus, pfftt
madam -> wrong/grown, buffs, civic, xylyl, jeeze, phpht
salad -> fromm/froom, gynny, jeeze, xviii, bucku, phpht
speed -> infix, qajaq, cwtch, yukky, grrrl, bombo
fuzzy -> swans/snaws, civic, deked, grrrl, bombo, phpht
woozy -> nebek, addax, civic, smush/humus, grrrl, pfftt
banal -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, cwtch, zoppo, jugum, skyfs, xviii
butch -> femme, qajaq, zoppo, grrrl, kynds, xviii
couch -> addax, kibbi, jeeze, grrrl, wynns, pfftt
spark -> cwtch, ungum, xylyl, jeeze, vivid, boffo
fever -> swans/snaws, kudzu, gobbo, mimic, xylyl, phpht
skiff -> yuppy/puppy, addax, cwtch, nonno, jeeze, grrrl
visit -> femme, addax, hyphy, nonno, grrrl, bucku
sunny -> cheek/check/keech, qajaq, grrrl, vivid, bombo, pfftt
dutch -> femme, qajaq, kibbi, zoppo, grrrl, wynns
chunk -> emmys/messy, qajaq, grrrl, vivid, oxbow, pfftt
muddy/dummy -> swans/snaws, civic, jeeze, grrrl, boffo, phpht
plumb -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, ongon, qajaq, cwtch, skyfs, xviii
gypsy -> nebek, qajaq, vizir, cwtch, fluff, modom/odoom
snack -> vizir, gobbo, emmew, xylyl, hudud, pfftt
awash/swash -> nebek, vizir, cocco, jugum, xylyl, pfftt
pitch -> qajaq, kudzu, exeem/exeme, grrrl, boffo, wynns
sappy -> femme, kudzu, cwtch, nonno, grrrl, xviii
bluff -> moron, qajaq, cwtch, sexes, gyppy, vivid
shuck -> wrong/grown, qajaq, xylyl, mebbe, vivid, pfftt
slack -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, gynny, bombo, xviii, zhuzh, pfftt
llama -> nebek, sudds, cwtch, gyppy, zorro, xviii
swirl -> femme, qajaq, kudzu, cocco, gynny, phpht
spurn -> femme, qajaq, cwtch, kibbi, xylyl, doggo/goodo
bound -> cezve, qajaq, grrrl, skyfs, immix, phpht
gamma/magma -> nebek, swizz, cocco, xylyl, uhuru, pfftt
proof -> nebek, qajaq, cwtch, muggs/smugs, xylyl, vivid
crook/crock -> swans/snaws, begem, xylyl, vivid, zhuzh, pfftt
cress/scree -> filii, qajaq, kudzu, gynny, bombo, phpht
cubic -> addax, keeve, grrrl, zhomo, wynns, pfftt
droop -> bevel/belve, qajaq, kuzus, cwtch, gynny, immix
sheer -> ovolo, qajaq, kudzu, mimic, gynny, pfftt
shyly -> wrong/grown, qajaq, kudzu, civic, exeem/exeme, pfftt
award -> nebek, fifis, cocco, jugum, xylyl, phpht
theft -> compo, qajaq, kudzu, grrrl, xviii, wynns
creek -> swans/snaws, gobbo, xylyl, vivid, zhuzh, pfftt
flick -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, gynny, bombo, susus, phpht
slosh -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, gynny, immix, bucku, pfftt
world -> cheek/check/keech, qajaq, bubus/bussu, gynny, immix, pfftt
funky -> swizz, addax, cocco, grrrl, mebbe, phpht
wacky -> infix, sudds, jeeze, grrrl, bombo, phpht
welsh -> qajaq, vizir, gynny, bucku, modom/odoom, pfftt
droll/drool -> nebek, qajaq, cwtch, fuffs, gyppy, immix
bosom -> welch, qajaq, kudzu, gynny, xviii, pfftt
drawn -> sughs, civic, xylyl, jeeze, bombo, pfftt
sheen -> moody/doomy, qajaq, grrrl, xviii, bucku, pfftt
lunch -> qajaq, edged/egged, skyrs, bombo, xviii, pfftt
bobby/booby -> swans/snaws, femme, kudzu, civic, grrrl, phpht
pence -> fifis, qajaq, kudzu, grrrl, mythy/thymy, oxbow
boozy -> swans/snaws, civic, exeem/exeme, grrrl, hudud, pfftt
elder -> infix, qajaq, kuzus, cwtch, gyppy, bombo
sleek -> infix, qajaq, cwtch, urubu, gyppy, modom/odoom
humid -> qajaq, cocco, keeve, grrrl, wynns, pfftt
crown -> buffs, qajaq, xylyl, mezze, vivid, phpht
stuck -> infix, qajaq, hyphy, grrrl, bombo, dewed
snoop/spoon -> biffy, qajaq, kudzu, cwtch, exeem/exeme, grrrl
bleep -> fromm/froom, sudds, qajaq, cwtch, gynny, xviii
mambo -> civic, weeke, grrrl, zhuzh, synds, pfftt
vigil -> nebek, addax, cocco, myrrh/rhymy, jujus, pfftt
